Concept;Question class;Question type;Question content;Answer;Alternative 1;Alternative 2;Alternative 3;Explanation;Difficulty rating (</= 20)
NCA basics;Seed;MC;Iyini i{debt review}?;Umthetho osiza ngezikweletu eziphezulu;Indlela yokwenza esinye isikweletu;Indlela yokuwonga kakhulu;Indlela yokuthola ezinye izikweletu;i{Debt review} iyindlela esemthethweni yokuthola usizo uma abathengi banenkinga yesikweletu esiphezulu;4
NCA basics;Retention;MC;Kwezilandelayo yini enzeka ku {debt review}?;Umthengi uyabikwa ukuthi unesikweletu esiphezulu;Izikweletu zomthengi ziyabhadalwa;Umthengi unikezwa ezinye izikweletu;Umthengi uyafayinwa;Ngesikhathi se {debt review}, umthengi ubikwa ngokomthetho ukuthi unezikweletu eziphezulu kanti i{debt counsellor} ibasiza ukulawula izimali zabo;8
NCA basics;Retention;T/F;Noma ubani angaba i{debt counsellor};Amanga;Iqiniso;;;Akunoma ubani ongakwazi ukuba i{debt counsellor}. Ama {debt counsellors} eSouth Africa kudingeka babhaliswe ku {NCR}.;9
NCA basics;Retention;MC;Ngokujwayelekile, ama {debt counsellors} enzani kubathengi?;Enza uhlelo olusha lokubhadala;Babhadala izikweletu zabo zonke;Ukufayina umthengi;Nikeza umthengi isikweletu;i{Debt counsellor} iyokwenza uhlelo olusha lokubhadala komthengi. Bayofanele ukukhuluma nombolekisi wezimali bese babone uma evumelana nohlelo olusha lokubhadala.;9
NCA basics;Retention;MC;Ukuthi enze uhlelo olusha lokubhadala lisebenze, umbolekisi wezimali kufanele________;Athole i{Court order};Abhadale umthengi;Afayine umthengi;Anikeze umthengi isikweletu;Uma uhlelo olusha lokubhadala lenziwe, i{debt counsellor} iyodinga ukuthola i{court order} ukuqinisekisa uhlelo olusha.;9
NCA basics;Retention;T/F;Ababolekisi bezimali badinga ukuvuma uhlelo olusha lokubhadala ngaphambili kokuthi liqhubeke.;Iqiniso;Amanga;;;i{Debt counsellor} kudingeka ikhulume nombolekisi wezimali ukubona uma bevumelana nohlelo olusha lokubhadala.;9
NCA basics;Retention;MC;Ku {debt review}, kwenzekani uma umbolekisi wezimali angavumelani nohlelo olusha lokubhadala?;Indaba iya ku {magistrate}'{s} {court};Umthengi kufanele abhadale nje;i{Debt counsellor} iyofayinwa;Umbolekisi wezimali uyokhansela ukubhadala;Uma umbolekisi wezimali angavumelani nohlelo olusha lokubhadala, indaba kufanele iye ku {magistrate's court}.;9
NCA basics;Retention;MC;Uma ungaphansi kwe {debt review}, awukwazi:;Ukuthola i{credit};Ukubhadala;Ukuwonga imali;Ukusebenzisa i{debit card} yakho;Uma ungaphansi kwe {debt review}, awukwazi ukuaplayela i{credit} noma unikezwe i{credit} ababolekisi bezimali abasemthethweni.;10
NCA basics;Application;MC;Uma uhlulwa izikweletu eziphezulu. Ungakwazi ukubona: ;i{Debt counsellor};uMashonisa ;i{Debt helper} ;i{SARS};Ngokusho kwe {NCA}, uma uhlulwa isikweletu, ungabona i{debt counsellor}. Ama {debt counsellors} akusiza ukulawula izimali nokuthola indlela yokubhadala izikweletu zakho. ;15
NCA basics;Seed;T/F;Isivumelwano se {credit} esinganaki ilapho i{affordability assessment} ingayenzwanga ngaphambili kokunukeza i{credit}.;Iqiniso;Amanga;;;Isivumelwano se {credit} esinganaki ilapho umbolekisi wezimali angenzi i{affordability assessment} ngaphambili kokunukeza i{credit} kumthengi. ;5
NCA basics;Retention;MC;Uma umbolekisi wezimali anikeza i{credit} kumthengi azi ukuthi akakwazi ukumelana nayo, ibizwa ukuthi: ;Isivumelwano se {credit} esinganaki;Isivumelwano se {credit} esimbi;Isivumelwano se {credit} esikhwabanisiwe;Isivumelwano se {credit} esiphekiwe;Uma umbolekisi wezimali enza i{affordability assessment}, kodwa anganaki imiphumela bese anikeza i{credit} kumthengi ongakwazi ukumelana naso, isivumelwano sithathwa njenge singanaki. ;9
NCA basics;Retention;MC-AOTA;Ingabe i{NCA} iqonde ukuvikela abathengi kanjani kuzivumelwano ze {credit} ezinganaki?;Zonke ezibaliwe;Ngokufuna i{affordability assessment} yenziwe;Ngokwehlwaya ukuboleka okunganaki;Ngoku khuthaza izivumelwano ngolimi olucacile;i{NCA} iqonde ukuvikela abathengi ngokwenza ababolekisi bezimali ukuthi benze i{affordability assessment}, engakwazi ukusiza ukuvikela abathengi ukuba nezikweletu ezingaphezulu ;11
NCA basics;Retention;MC;Kwenzekani uma isivumelwano se {credit} sitholakala singanaki?;Isivumelwano singamiswa noma sibekelwe eceleni;Umthengi uyafayinwa;i{Debt counsellor} iyafayinwa;Isivumelwani se {credit} silandelwa njengoba sinjalo;Uma isivumelwano se {credit} sitholakala singanaki, isivumelwano singamiswa noma sijikwe ngendlela yokuthi izibopho zomthengi zingasa landelwa. ;9
NCA basics;Application;MC;Ubani othatha isinqumo ukuthi isivumelwano se {credit} asinaki?;Inkantolo;Umthengi;i{Debt counsellor};Umbolekisi wezimali;Inkantolo kuphela ethatha isinqumo ukuthi isivumelwano se {credit} asinaki noma cha. Akuyena umthengi noma umbolekisi wezimali abangathatha isinqumo ngokwabo.;17
CPA basics;Seed;MC-AOTA;i{Consumer Protection Act} izama ukukhuthaza:;Zonke ezibaliwe;Ubudlelwano bomthengi ne {supplier} obulungile;Ubudlelwano bomthengi ne {supplier} bungena mfihlo;Ukwenza ibhizinisi kahle;i{CPA} iqonde ukukhuthaza ubudlelwano obulungile nobungena mfihlo phakathi kwabathengi nama {suppliers}, kanye nokwenza ibhizinisi kahle kwama {suppliers}.;5
CPA basics;Retention;MC;Ubani othintwa i{Consumer Protection Act} kakhulu?;Abathengi nama {suppliers};Ababolekisi bezimali nabathengi;Ama {bankers} nama {banks};Abathengi nama {tax officials};i{CPA} ithinta abathengi nama {suppliers} kakhulu. Bobabili, ama {suppliers} nabathengi badinga ukuvuma nokuhlonipha lemithetho uma basebenzisana.;8
CPA basics;Retention;MC;Ngokusho kwe {Consumer Protection Act} iyini i{supplier}?;Ibhizinisi elithengisa ngezimpahla noma amasevisi;Ibhizinisi elisebenzisa ama {products} namasevisi; Umuntu osebenzisa ama {products} noma amasevisi;i{Bank};i{Supplier}, ibhizinisi noma inhlangano/inkampani enikezela ngama {products} noma amasevisi kubanye bese ibabiza imali yalama sevisi.;9
CPA basics;Application;MC;Imiphi imithetho esebenzayo kuwe uma uthenga? ;i{CPA};i{CPC};i{CPT};i{CBB};i{Consumer Protection Act} ({CPA}) imithetho evikela abathengi uma basebenzisa ama {suppliers}. Imithetho yaku {CPA} idinga ukuvunywa nokuhlonishwa yibo bobabili abathengi nama {suppliers}.;15
CPA basics;Application;MC;I-CPA iqonde ukuvikela abathengi ku:;Ukuhlukunyezwa nokungathembeki kwama-suppliers;Ukubhadalela kokuthengile;Ukunaka uma uthenga izinto;Ukuthenga nokusebenzisa yonke imali yabo;i{Consumer Protection Act}({CPA}) ivikela abathengi ukuhlukunyezwa nokungathembeki kwama-suppliers. Futhi i{CPA} ivumela abathengi ukwazi amalungelo wabo nalokho abafanele bakwenze uma bathenga.;17
CPA basics;Seed;MC;Imithetho ebeka okujwayelekile nezinga lokuvikeleka kwabathengi i: _____;i{CPA};i{NCA};i{ACP};i{ANC};Inhloso ye {Consumer Protection Act}({CPA}) iwukukhuthaza ubudlewano obulungile nobuhle kubathengi nama {supplier}, nokwenza imikhuba emihle yebhizinisi.;5
CPA basics;Retention;Y/N;Ingabe kuvumelekile kuma {suppliers} ukunganaki amalungelo abathengi?;Cha;Yebo;;;Ama {suppliers} awakwazi ukunganaki amalungelo anikezwe abathengi i{Consumer Protection Act}({CPA}). Kufanele bayazi, bahloniphe kanti bayigcine lemithetho uma besebenzisana nabathengi.;9
CPA basics;Application;T/F;Ukwazi amalungelo wakho wokuba umthengi kungakusiza ukwazi ukuzivikela ukuthi kungadlalwa ngawe.;Iqiniso;Amanga;;;Kubalulekile ukwazi amalungelo wakho nalokho ofanele ukwenze njengoba kushiwo y i{Consumer Protection Act} ukuthi wazi okulindelekile kuwe namabhizinisi othenga kuwo. ;12
CPA basics;Application;T/F;Wena njengomthengi awunawo amalungelo uma uthenga ama {products} noma usebenzisa amasevisi.;Amanga;Iqiniso;;;Njengomthengi unamalungelo onikezwe yi{Consumer Protection Act}({CPA}) uma uthenga ama {products} noma usebennzisa amasevisi.;15
CPA basics;Seed;MC-AOTA;Ngokusho kwe {CPA}, yini i{supplier} engakwazi ukuyenza?;Zonke ezibaliwe;Ukwala ukuthengisela umuntu wobulili obuthize;Ukwala ukuthengisela umuntu wombala othize;Ukwala ukuthengisela umuntu wolimi olithize;Ngokusho kwe {CPA}, ama {suppliers} awakwazi ukubandlulula abathengi ngokobulili, umbala, ulimi, inkolo, ukukhubazeka, isimo somshado noma ngesizathu esithize. ;6
CPA basics;Retention;MC;Uma ucabanga ukuthi i{supplier} iyabandlulula, unelungelo lo:;Ukwenza isikhalazo;Ukungabhadali ama {products};Mosha izinto esitolo;Yenza ngokunganaki ngama {products};Uma ucabanga ukuthi i{supplier} iyabandlulula, unelungelo lokufaka isikhalazo ku {National Consumer Commission} mayelana ne {supplier}.;11
CPA basics;Retention;MC;i{National Consumer Commission} ingakusiza uma:;Ubona ngathi i{supplier} inobandlululo;Awukwazi ukubhadala isikweletu;Unesikweletu esiningi;Udinga ukuthola i{credit card};Inkantolo yezokulingana noma i{National Consumer Commission} ingakusiza uma ucabanga ukuthi i{supplier} ibandlulula abathengi.;12
CPA basics;Application;MC;i{Supplier} ikutshela ukuthi angeke ikuthengisele ngenxa yombala wakho. Lokhu :;Ubandlululo;Ubandlululo olulungile;Kuvunyelwe ngumthetho;Kuvunyelwe i{CPA};i{Supplier} ayikwazi kungakuthengiseli ama {product}s noma anikele ngamasevisi kuwe ngokwendawo ozalelwe kuyo. Lokhu, ubandlululo.;16
CPA basics;Seed;MC;Iyini i{direct marketing}?;Uma i{supplier} adivatayiza kuwe ngokuqondile;Uhlobo lwe {supplier};Uhlobo lwesikweletu;Uhlobo lwebhizinis i{e}-{online};i{Direct marketing} iwuhlobo lokuadivatayiza, lapho amabhizinesi afika kubathengi ngama {emails}, ama {SMS}, izincwadi noma ukufona ukuze kuthengiswe ama {products} noma amasevisi.;3
CPA basics;Retention;MC-AOTA;i{Direct marketing} yenziwa:;Zonke ezibaliwe;Ama {marketing emails};Ama {marketing SMS};Ama {marketing flyers};i{Direct marketing} yenziwa ngokusebenzisa ama {emails}, ukufona nezincwadi. ;11
CPA basics;Retention;MC;Uma ungafuni ukuthola i{direct marketing}, ungakhetha uku:;Ukuthi cha kumilayezo ye {direct marketing};Ungabhadali izikweletu zakho;Ukungaphenduli ama {emails} wakho;Ukungakhiphi izincwadi ku {box} lakho leposi;Unelungelo lokutshela ama {suppliers} (njenge zitolo nama {service providers}) ongafuni ukuthola i{directing marketing} evela kubo. Ngakho-ke ama {suppliers kufanele akuhloniphe.;10
CPA basics;Retention;Y/N;Ungakhetha ukuthola noma ukungatholi i{direct marketing}.;Yebo;Cha;;;Ngokusho kwe {Consumer Protection Act} ungakhetha ukuthi uthola kanjani i{direct marketing} (uma ufuna ukuyithola)-isibonelo, ngokwe {email}, {SMS} noma ngefoni.;10
CPA basics;Application;MC;Ungenza kanjani uma ungasafuni ukuthola ama {SMS} we {direct marketing}?;Ungakhetha ukuphuma;Qhubeka uwathole ngoba awukwazi ukuphuma ;Hambisa i{supplier} enkantolo yezokulingana;Hamba uye enkantolo ka{ magistrate};Uma ungasafuni ukuthola ama {SMS} we {direct marketing}, kufanele ukwazi ukukhetha ukuphuma kuwo. Lokhu kwenzeka ngoku thumela umlayezo okhetha ukuphuma ku {supplier} eqondene nayo.;15
CPA basics;Seed;MC;Elinye lamalungelo wakho ku {CPA}, ilungelo lakho uku_____;Ukukhetha i{supplier} ngokwakho;Ufune intengo ephansi kuma {suppliers};Umoshe ama {products} ungawabhadali;Uqambe amanga nge {supplier};Ngokusho kwe {Consumer Protection Act}, unelungelo lokukhetha lapho uthenga khona izinto - noma ngamanye amagama, ilungelo lokukhetha i{supplier} ofuna ukuyisebenzisa.;6
CPA basics;Retention;MC;Uma ungakhululekanga ngesivumelwano ne {supplier}, ungakwazi:;Ukukhetha ukwala bese uthola enye i{supplier};Cela ukungabhadali ama {products} noma amasevisi;Iba neqiniso uma uvuma izinto;Cela ukwehliselwa;Uma ungakhululekanga ngesivumelwano osi aplayele ne {supplier}, unelungelo lokwala bese ukhetha enye i{supplier} okhululekile ngayo.;13
CPA basics;Application;MC;Yini evumelekile ukuyenza uma ungasafuni ukuthenga esitolo esithize?;Khetha ukuya kwesinye;Cela isitolo se {grocery} sikwehlisele;Cela isitolo se {grocery} isikweletu;Ungasabhadali i{grocery} esitolo;Uma ungasafuni ukuthenga esitolo esithize, unelungelo lokukhetha esinye isitolo.;15
CPA basics;Seed;MC;Yini isivumelwano se {fixed term}?;i{Contract} ehlala isikhathi esithize;i{Contract} engaphelelwa isikhathi;i{Contract} engeke ikwazi ukukhanselwa;i{Contract} engeke iphele;Isivumelwano se {fixed term} siyi{contract} ehlala isikhathi esithize, njenge zinyanga eziwu {12} noma izinyanga eziwu {24};5
CPA basics;Retention;MC;Isivumelwano se {fixed term} kufanele sibe:;Ne {date} yokuqala neyokugcina kwaso ;Singabi nawo ama {dates};Singabi nayo i{date} yokugcina kwaso;Singabi nayo i{date} yokuqala kwaso;Isivumelwano se {fixed term} sidinga ukuba ne {date} yokuqala neyokugcina kwaso ecacile. isivumelwano se {fixed term} asikwazi ukungabi ne {date} yokugcina kwaso.;9
CPA basics;Retention;MC;Yini isikhathi esiphezulu sesivumelwano se {fixed term}? ;Izinyanga eziwu {24};Iminyaka ey i{100};Esingapheli;Singaphela uma ufuna;Ngokusho kwe {CPA}, izivumelwano ze {fixed term} kufanele zihlale okungaphezulu izinyanga eziwu {24}. Ungakwazi, kodwa, ukuvuma isivumelwano se {fixed term} eside uma ufuna.;9
CPA basics;Retention;MC;Njengomthengi, unelungelo loku:;Khansela isivumelwano se {fixed term};Ukungabhadali izikweletu;Ungakwazi ukukhansela isivumelano se {fixed term};Ukuphoqeleka kuzivumelwano ezengeziwe ;Ngokusho kwe {CPA} kanye nelungelo lokukhetha, abathengi banelungelo lokukhansela noma bavuselele izivumelwano ze {fixed term}. ;9
CPA basics;Retention;MC;Kuzivumelwano ze {fixed term}, iyini iphenalthi yokukhansela?;Imali ebhadalwa uma kuqedwa isivumelwano masinyane;i{Contract} ekhethekile;Uhlobo lwe {Credit};Umthetho ku {CPA};Iphenalthi inani lemali elidinga ukubhadalwa njenge fayini. Uma umthengi ekhansela isivumelwano se {fixed term} ngaphambili kokuthi siphele, banga bhadala iphenalthi.;9
CPA basics;Retention;MC;Uma ukhansela isivumelwano se {fixed term} singaka pheli, yini ofanele ukuyenza?;Bhadala iphenalthi;Umsebenzi womphakathi;Uya ejele ;Bhadala i{tax} engeziwe;Uma ukhansela isivumelwano se {fixed term} ngaphambili kokuphela kwaso, ungabizwa imali yephenalthi i{supplier}. Lenhlobo yephenalthi ijwayelekile uma isivumelwano sikhanselwa masinyane. ;10
CPA basics;Retention;MC;Uma ufuna ukukhansela isivumelwano se {fixed term}, udinga ukunikeza i{notice} yamalanga amangakhi?;Amalanga awu {20} okusebenza;Amalanga awu {5} okusebenza;Amalanga awu {0} okusebenza;Amalanga ayi {100} okusebenza;Uma ufuna ukukhansela isivumelwano se {fixed term} singakapheli, udinga ukunikeza i{supplier} i{notice} yamalanga awu {20} okusebenza. Noma ngabe uyakwenza lokhu ungabizwa imali yephenalthi. ;9
CPA basics;Application;Y/N;i{Contract} yakho ye {cellphone} iphelile kanti awufuni ukuyivuselela. Kufanele ubizwe imali yephenalthi?;Cha;Yebo;;;Ezinye izivumelwano ze {fixed}-{term} ziyazivuselela uma zifika ekugcineni kwe {term}. Kodwa uma ufuna ukusikhansela ngokuphelele uma sesiphelile, akufanelanga ubizwe imali yephenalthi.;15
CPA basics;Application;MC;Ufuna ukukhansela i{contract} yakho ye {internet} ingakapheli. i{Supplier} yakho ingenzani?;Ikubize imali yephenalthi;Ingakuvumeli ukukhansela;Ingakhanseli isivumelwano;Ithathe i{TV} yakho;Uma ufuna ukukhansela i{contract} yakho ye {internet} ingakapheli, i{supplier} yakho ingakubiza imali yephenalthi.;15
CPA basics;Seed;Y/N;Uma ufuna ukulungisa noma isevisi yokugcina yenziwe, ungakwazi ukucela i{supplier} i{quote}? ;Yebo;Cha;;;Umthengi uvumelekile ukucela i{supplier} i{quote} ebhaliwe ngaphambili kokwenza isinqumo sokuthi noma ufuna ukusebenzisa i{supplier} noma athole isevisi noma ukulungisa kwenziwe. ;4
CPA basics;Retention;MC;Ingabe i{supplier} ayivunyelwe ukwenzani?;Ukwenza umthengi abhadale i{quote};Ukunikeza umthengi i{quote};Ukunikeza umthengi i{quote} ebhalwe phansi;Thumela i{quote} nge {email} kumthengi;i{Supplier} ayivunyelwe ukubhadalisa umthengi i{quote}, uma ayicela.;8
CPA basics;Retention;MC;Uma umthengi anikezwa i{quote} yokulungisa noma isevisi, anga:;Khetha ukungenzi ukulungisa noma isevisi;Enza ukuthi isevisi yenziwe kanti ungabhadali;Enza ukuthi kulungiswe kanti ungabhadali;Enza ukuthi isevisi nokulungisa kwenziwe kanti ungabhadali;Uma umthengi enikeziwe i{quote}, angakhetha ukuthi uyathanda ukulungisa noma isevisi yenziwe noma cha. Bavumelekile ukukhetha ukuthi kungenziwa lutho. ;8
CPA basics;Retention;T/F;Kufanele i{supplier} ithole imvume yakho ebhalwe phansi ngaphambili kokwenza umsebenzi wokugcina/ukulungisa?;Iqiniso;Amanga;;;Kufanele i{supplier} itshele umthengi ngaphambili kokulungisa noma ukwenza isevisi. Abakwazi ukwenza ukulungisa/isevisi bese babiza imali, uma bangazange bazise umthegi mayelana nokulungisa/nesevisi.;8
CPA basics;Retention;MC;Yini okufanele umthengi akwenze ngaphambili kokuthi i{supplier} yenze ukulungisa noma isevisi?;Anikeze imvume yokulungisa noma isevisi;Angavumelani nokulungisa noma isevisi;Angaceli i{quote};Angahleli ukubhadala i{supplier};Umthengi udinga ukutshelwa ngaphambili kokuthi i{supplier} yenze ukulungisa noma isevisi kanti umthengi udinga ukuvuma ukuthi ukulungisa noma isevisi ingakwazi kanti kufanele yenziwe.;8
CPA basics;Application;Y/N;Ingabe umakhi udinga ukukwazisa ngaphambili kokulungisa indlu yakho? ;Yebo;Cha;;;Noma yiphi i{supplier}, njengomakhi, udinga ukukwazisa ngaphambili kokwenza ukulungisa noma isevisi. Uma bangakwazisi, awukwazi ukubizwa imali. ;16
CPA basics;Seed;T/F;Ungakwazi ukwala ukuthenga ama {products} wokubukisa noma asevuliwe ngaphambilini.;Iqiniso;Amanga;;;Njengomthengi unelungelo lokwala ukuthenga ama {products} asetafuleni lokubukisa, ku {mannequin} noma ku into efanayo ethatha ubusha bama {products} ;5
CPA basics;Retention;MC;Uma unikezwa i{product} evuliwe ungaphikelela ukuthi ishintshwe nge:;Engavulwanga;Ebiza kakhulu;i{Product} ehlukile ;Ntshontsha i{product};Uma i{supplier} (njenge sitolo noma umkhiqizi) akunikeza i{product} evuliwe, kuyilungelo lakho ukwala leyo {product} bese ucela engakavulwa.;8
CPA basics;Retention;T/F;Unelungelo lokuhlola izimpahla ezilethiwe kuqala, ngaphambili kokuzimukela. ;Iqiniso;Amanga;;;Uma ama {products} alethiwe kuwe, unelungelo lokubheka nokuqinisekisa ukuthi awamoshekanga noma alungile, ngaphambili koku{sign}a. ;8
CPA basics;Retention;MC;Ungenzani uma izimpahla ozithengile zimoshakele?;Zibuyisele emuva bese ucela ukubuyiselwa imali;Fayina i{supplier};Qamba amanga ngokuthengile;Bizwa imali engeziwe yi {supplier};Uma uthenga izimpahla ezimoshakele, unelungelo loku zibuyisela ku {supplier} bese ucela ukubuyiselwa imali, uma nje kungewena ozimoshile (lokhu kudinga ukwenziwa ngesikhathi esithize). ;8
CPA basics;Retention;Y/N;Ngabe kufanele ama {suppliers} anikeze abathengi isikhathi sokuhlola ama {products} athengiwe noma alethiwe. ;Yebo;Cha;;;Kufanele ama {suppliers} anikeze abathengi ithuba lokuhlola ama {products} alethiwe ukuqinisekisa ukuthi awamoshekanga, awalungile noma asezingeni elibi.;9
CPA basics;Retention;MC;Uma ulethelwa ama {products} angalungile, ungakwazi:;Uwabuyisele emuva;Qamba amanga ngokulethiwe;Cela i{supplier} ama {products} wamahala ;Bizwa imali engeziwe yi {supplier};Uma umthengi alethelwa impahla esezingeni elibi, engalungile noma emoshakele, angakwazi ukuyi buyisela ku {supplier} bese acela ukubuyiselwa imali (Lokhu kudinga ukwenziwa ngesikhathi esithize).;8
CPA basics;Retention;MC-F;Ungenziwa ukuthi ubhadale i{product} obengeke uyithenge uma u_____;Uma umosha ama {products} ngamabomu;Ungcolisa esitolo;Ubonakala uthanda ama {products};Zonke ezibaliwe;i{Supplier} ingabiza imali yokulahlekelwa noma ukumoshakala kwempahla kubathengi uma bemosha izinto ngamabomu, noma uma bamosha izinto ngokwenza banganaki. ;9
CPA basics;Application;MC;Kufanele wenzeni uma uthenge ihembe elibhobokile?;Libuyisele ku {supplier};Cela amahembe amathathu wamahala;Cela ukwehliselwa kuzo zonke izimpahla;Ntshontsha okuthize ku {supplier} kamuva;Uma uthenga ihembe, noma enye i{product} emoshakele noma engalungile ngendlela ethize, ungakwazi ukuyibuyisela ku {supplier} bese ucela ukubuyiselwa imali (Lokhu, ukwenziwa ngesikhathi esithize).;16
CPA basics;Seed;T/F;Unelungelo lokuthola isivumelwano ngolimi olulula.;Iqiniso;Amanga;;;Unelungelo lokucela i{contract} noma isivumelwano ngolimi lulula, noma ngamanye amagama, indlela yokubhala elula ukuyizwisisa.;6
CPA basics;Retention;MC;Ama {suppliers} (ukufaka izitolo) kufanele ba:;Babonakalise izintengo zama {products} ngokucacile;Bafihle izintengo zama {products};Bavale izintengo zama {products};Bangatsheli abathengi izintengo zama {products};Kufanele ama {suppliers} abonakalise ngokucacile izintengo endaweni lapho abathengi bazozibona khona. Abakwazi ukufihla noma ukuvala izintengo. ;8
CPA basics;Retention;MC;Kufanele ama {suppliers} enzeni uma beadivathayiza i{sale} noma i{promotion}?;Bonakalisa i{date} yokuqala nokugcina ngokucacile;Akunikeze ukwehliselwa okukhethekile;Afihle i{date} yokuqala;Afihle i{date} yokugcina;Kufanele ama {suppliers} abonakalise ngokucacile i{date} yokuqala nokugcina kwama {sales} noma ama {promotions} kuma {promotional materials}, njengama {flyers} noma ama {brochures}.;8
CPA basics;Retention;MC;Uma i{product} inezintengo ezimbili ezihlukile, umthengi angakwazi ukucela uku:;Bhadala intengo ephansi kulezo zombili;Ukuthola i{product} mahala;Bhadala eyodwa bese athola enye mahala;Bhadala i{half} yentengo ebonakalisiwe;Uma i{product} inezintengo ezimbili ezibonakalisiwe, umthengi angacela ukubhadala intengo ephansi yalezo zombili ze {product}. i{Supplier} ayikwazi ukubiza umthengi intengo ephezulu kulezo zombili.;8
CPA basics;Retention;Y/N;Ngabe abathengi bangakwazi ucela ama {suppliers} ama {receipts} noma ama {invoices}?;Yebo;Cha;;;Abathengi bangakwazi ukucela ama {suppliers} ama {receipt} noma ama {invoice} ngemuva kokuthenga. Akudingeki ukuthi babhadale i{receipt} noma i{Invoice}.;9
CPA basics;Retention;MC-AOTA;Ikuphi kulokhu okufanele i{receipt} noma i{invoice} ibe nakho?;Zonke ezibaliwe;Igama, incazelo nentengo yempahla ;i{Date} yokuthenga;Igama le {supplier} ne {address};i{Receipt} noma i{invoice} idinga ukuba negama, incazelo kanye nentengo yempahla, ukufaka ne {tax}, kanye ne {date} yokuthenga negama le {supplier}, i{address} kanye ne {contact information}. ;9
CPA basics;Application;MC;Ungenzani uma i{TV} inezintengo ezimbili ezihlukile ezibonakalisiwe?;Cela ukubhadala intengo ephansi kulezo zombili;Cela i{TV} mahala;Cela ukubhadala i{half} yentengo;Cela ukuthenga i{TV} eyodwa uthole enye mahala;Uma izintengo ezimbili zibonakalisiwe ku {product} eyodwa, njenge {TV}, ungacela ukubhadala intengo ephansi kuzo zombili. i{supplier} ayikwazi ukukutshela ukuthi ubhadale intengo ephezulu.;15
CPA basics;Application;Y/N;Uma uthenga into ethize esitolo, ungacela i{receipt}.;Yebo;Cha;;;Unelungelo lokucaela i{receipt} noma i{invoice} ngemuva kokuthenga. i{Receipt} noma i{invoice} idinga ukuba nolwazi oluthize njenge gama, incazelo kanye nentengo. ;15
CPA basics;Application;MC;Kwezinye izinto, yini okufanele i{brochure} ye {sale} yesitolo se {grocery} iveze?;i{Date} yokuqala nokugcina kwe {sale};Isithombe somnikazi wesitolo;Isihloko esigqamile;Igama lesitolo ngamagama amakhulu;Ngokusho kwe {Consumer Pretection Act}, i{brochure}, i{flyer} noma uhlobo oluthize loku adivathayiza i{promotion}/{sale} idinga ukubonisa ngokucacile i{date} yokuqala nokugcina kwe {sale}.;15
CPA basics;Seed;MC;Yini i{supplier} engakwazi ukuyenza uma iadivathayiza ama {products} noma amasevisi?;Ukusebenzisa ulwazi okungelona ngamabomu;Ukusebenzisa ama {brochures} noma ama {flyers};Ukuadivathayiza i{address} yabo;Ukusebenzisa imibala egqamile;Ama {suppliers} awavumelekile ukusebenzisa ulwazi olungelona ngamabomu mayelana nama {products} noma amasevisi uma be adivathayiza ibhizinisi labo.;5
CPA basics;Retention;Y/N;Ingabe ama {suppliers} ayavunyelwa ukuqamba amanga ngentengo ye {product}?;Cha;Yebo;;;i{Supplier} ayikwazi ukuqamba amanga ngentengo yama {products}, ngisho uma bakwenza ngomzamo wokuphakamisa i{product} yabo.;9
CPA basics;Retention;T/F;i{Supplier} ingengabi neqiniso ngezinzuzo ze {product};Iqiniso;Amanga;;;i{Supplier} ayivunyelwe ukungabi neqiniso ngezinzuzo ze {product}, isibonelo, i{shampoo} angeke ithi, iyokwenza izinwele zakho zikhule uma ingakwazi ukukhulisa izinwele zakho. ;10
CPA basics;Application;MC;Uma uadivathayiza isevisi, i{supplier} angeke:;Iqambe amanga ngezintengo zamasevisi wabo;Bakhombise igama lebhizinisi labo;Ukuba nencazelo yamasevisi wabo;Ukuba nama {reviews} wabathengi ngamasevisi wabo;i{Supplier} ayikwazi ukuqambe amanga ngezintengo zamasevisi wabo uma beadivathayiza ibhizinisi labo. Angeke futhi baqambe amanga ngezinzuzo noma ukusebenza kwe {product}.;15
CPA basics;Seed;Y/N;Ingabe i{supplier} ivunyelwe ukunikeza imivuzo ngendlela ye {loyalty programme} bese ahlela ukungayinikezi? ;Cha;Yebo;;;Ngokusho kwe {CPA}, ama {suppliers} awavunyelwe ukunikeza imivuzo ngendlela ye { Loyalty programme} bese hlela ukunganikezi abathengi (uma behlangabezana nezimfuneko zokuwathola).;3
CPA basics;Retention;MC-AOTA;Ngaphili kokungena ku {loyalty programme}, ikhuphi kulezi ofanele uboniswe?;Zonke ezibaliwe;Yini imivuzo;Ama {products} namasevisi athintekayo;Ungena kanjani ukuthola imivuzo;Amaphepha nge {loyalty programmes} kufanele afake incazelo ye {programme} nomvuzo, amagama wama {products}/amasevisi athintekayo kanye nemiyalelo yokuthi ungena kanjanibese uthola imivuzo.;10
CPA basics;Retention;MC;Amaphepha we {loyalty programmes} kufanele afake:;Ama {contact details} we {programme};Intengo yama {products};Igama lomphathi ;Amagama wezisebenzi;Amaphepha we {loyalty programme} kufanele afake ama {contact details}, ukuze abathengi bakwazi ukungena ku {programme} noma bathole imivuzo abayizuzile.;10
